genre_mode,genre,story_zone,method,mean_sentiment,ci_low,ci_high,n_films
multi_label,Action,Opening,Frequency baseline,0.12287041824086178,0.07138226356352183,0.17347575549552355,121
multi_label,Action,Inciting conflict,Frequency baseline,0.12514891320257276,0.0731050997238096,0.17852041684723044,121
multi_label,Action,Escalation,Frequency baseline,0.06032473780532915,0.00983172559114998,0.11027833906488214,126
multi_label,Action,Climax zone,Frequency baseline,0.006181555927468535,-0.04180818096391098,0.05385276481437706,124
multi_label,Action,Resolution,Frequency baseline,0.0647993927018825,-0.010804967872993846,0.13829083483316362,133
multi_label,Action,Opening,Full dialogue,0.023311244746650243,-0.03510165791628085,0.08217368210447168,121
multi_label,Action,Inciting conflict,Full dialogue,0.004527099662083778,-0.05676583030539979,0.0660464736698807,121
multi_label,Action,Escalation,Full dialogue,-0.06726107928956952,-0.11718443408519527,-0.02001543232049205,126
multi_label,Action,Climax zone,Full dialogue,-0.11805024392921137,-0.1693696924065781,-0.06517046686872106,124
multi_label,Action,Resolution,Full dialogue,-0.07077957171420182,-0.14464152533599625,0.004187738365368207,133
multi_label,Action,Opening,TF-IDF filtered,0.08117097514586116,0.02990656824325094,0.1364573513523114,121
multi_label,Action,Inciting conflict,TF-IDF filtered,0.06498858999174016,0.008835611918833312,0.12368623028718821,121
multi_label,Action,Escalation,TF-IDF filtered,0.03185753670063794,-0.015698656272317084,0.08190968512957157,126
multi_label,Action,Climax zone,TF-IDF filtered,-0.032377742082059624,-0.08183224062728303,0.01839075510311701,124
multi_label,Action,Resolution,TF-IDF filtered,-0.0011828068001248234,-0.07473427643927463,0.07315425426466385,133
multi_label,Adventure,Opening,Frequency baseline,0.2328304417995573,0.15737073935167423,0.31093632598015364,71
multi_label,Adventure,Inciting conflict,Frequency baseline,0.1939243608886231,0.12691921809714693,0.2597854057928103,71
multi_label,Adventure,Escalation,Frequency baseline,0.1393706675264482,0.08703228786548882,0.19102611450207288,71
multi_label,Adventure,Climax zone,Frequency baseline,0.05389827965782793,0.0005950727277557119,0.10784498843629818,71
multi_label,Adventure,Resolution,Frequency baseline,0.20267968108463175,0.11346591226477287,0.29499969754436894,76
multi_label,Adventure,Opening,Full dialogue,0.15117726480849236,0.06550600598491871,0.2344919243172333,71
multi_label,Adventure,Inciting conflict,Full dialogue,0.06655874488882359,-0.016767032345590658,0.14808867711058157,71
multi_label,Adventure,Escalation,Full dialogue,0.0648249104858209,0.011308328691735254,0.11834940310650517,71
multi_label,Adventure,Climax zone,Full dialogue,-0.02754036527746487,-0.08956848736835336,0.03259304344100138,71
multi_label,Adventure,Resolution,Full dialogue,0.0889642866398952,-0.004762181809646849,0.1797757449815809,76
multi_label,Adventure,Opening,TF-IDF filtered,0.21341122360335185,0.13434924827939504,0.2889459404108409,71
multi_label,Adventure,Inciting conflict,TF-IDF filtered,0.1741202540016882,0.09613017580011236,0.24767735554502746,71
multi_label,Adventure,Escalation,TF-IDF filtered,0.12543881621375727,0.06978380470077163,0.17945896297736363,71
multi_label,Adventure,Climax zone,TF-IDF filtered,0.038833092167447895,-0.01717345488461122,0.09450508769703896,71
multi_label,Adventure,Resolution,TF-IDF filtered,0.1928666826192813,0.10252961316579985,0.2815018928599725,76
multi_label,Animation,Opening,Frequency baseline,0.21661222988397907,0.01453079649770594,0.39130909877132664,19
multi_label,Animation,Inciting conflict,Frequency baseline,0.13615985406277586,-0.049718636129200175,0.30108202170894105,19
multi_label,Animation,Escalation,Frequency baseline,0.2077361029527182,0.07628298381355997,0.33097698659832075,19
multi_label,Animation,Climax zone,Frequency baseline,0.05337190844317672,-0.07970475539649388,0.1758035560562716,19
multi_label,Animation,Resolution,Frequency baseline,0.12683651211361738,-0.04167499665831245,0.2814862241019214,19
multi_label,Animation,Opening,Full dialogue,0.09217427611088602,-0.11562129828917213,0.29629662916849653,19
multi_label,Animation,Inciting conflict,Full dialogue,0.012695314555155872,-0.1645661439388355,0.1768367638293507,19
multi_label,Animation,Escalation,Full dialogue,0.14868082643179936,0.022158443440195474,0.27294927465475904,19
multi_label,Animation,Climax zone,Full dialogue,0.02097721980405527,-0.144621639142926,0.17141342441145424,19
multi_label,Animation,Resolution,Full dialogue,0.09945485826308195,-0.0570447540940419,0.22656546659736454,19
multi_label,Animation,Opening,TF-IDF filtered,0.20132653378097648,0.0005443411185048139,0.3764394072430407,19
multi_label,Animation,Inciting conflict,TF-IDF filtered,0.15501815011484904,-0.06452758949963862,0.3405818463523701,19
