genre_mode_primary,genre,story_zone,method,mean_sentiment_primary,ci_low_primary,ci_high_primary,n_films_primary,genre_mode_multi,mean_sentiment_multi,ci_low_multi,ci_high_multi,n_films_multi,multi_minus_primary
primary,Action,Opening,Full dialogue,0.036116139551344066,-0.03926037089993476,0.11358040464005455,69,multi_label,0.023311244746650243,-0.03510165791628085,0.08217368210447168,121,-0.012804894804693823
primary,Action,Inciting conflict,Full dialogue,0.03590169513845881,-0.0454248329378688,0.11196691345559205,69,multi_label,0.004527099662083778,-0.05676583030539979,0.0660464736698807,121,-0.031374595476375035
primary,Action,Escalation,Full dialogue,-0.06127078917108167,-0.1393518111802968,0.010610656904822345,74,multi_label,-0.06726107928956952,-0.11718443408519527,-0.02001543232049205,126,-0.005990290118487854
primary,Action,Climax zone,Full dialogue,-0.0679633398690618,-0.1525253696694505,0.011120010304673729,72,multi_label,-0.11805024392921137,-0.1693696924065781,-0.06517046686872106,124,-0.05008690406014957
primary,Action,Resolution,Full dialogue,-0.06622408808511748,-0.17298733253702325,0.04338281704485735,79,multi_label,-0.07077957171420182,-0.14464152533599625,0.004187738365368207,133,-0.004555483629084339
primary,Adventure,Opening,Full dialogue,0.18604065679929074,0.06159948402092204,0.30973302113400597,26,multi_label,0.15117726480849236,0.06550600598491871,0.2344919243172333,71,-0.03486339199079838
primary,Adventure,Inciting conflict,Full dialogue,0.10567991619747491,-0.026854879252783962,0.24690751868903754,26,multi_label,0.06655874488882359,-0.016767032345590658,0.14808867711058157,71,-0.03912117130865132
primary,Adventure,Escalation,Full dialogue,0.04470171566788039,-0.05661143304657214,0.1518445742844051,26,multi_label,0.0648249104858209,0.011308328691735254,0.11834940310650517,71,0.020123194817940504
primary,Adventure,Climax zone,Full dialogue,-0.011553895852115735,-0.10417969999607261,0.08836840873946787,26,multi_label,-0.02754036527746487,-0.08956848736835336,0.03259304344100138,71,-0.015986469425349134
primary,Adventure,Resolution,Full dialogue,0.09019768422816501,-0.05767769436813188,0.22637663127844374,26,multi_label,0.0889642866398952,-0.004762181809646849,0.1797757449815809,76,-0.001233397588269819
primary,Animation,Opening,Full dialogue,0.023683017316017324,-0.2624165455357143,0.25130015665584415,10,multi_label,0.09217427611088602,-0.11562129828917213,0.29629662916849653,19,0.0684912587948687
primary,Animation,Inciting conflict,Full dialogue,0.023244284243534228,-0.2586342930555556,0.2413090764423075,10,multi_label,0.012695314555155872,-0.1645661439388355,0.1768367638293507,19,-0.010548969688378356
primary,Animation,Escalation,Full dialogue,0.2728606178883973,0.11780157050192054,0.42642612687367937,10,multi_label,0.14868082643179936,0.022158443440195474,0.27294927465475904,19,-0.12417979145659797
primary,Animation,Climax zone,Full dialogue,-0.06096414470440733,-0.2962352886438012,0.11417565323643161,10,multi_label,0.02097721980405527,-0.144621639142926,0.17141342441145424,19,0.0819413645084626
primary,Animation,Resolution,Full dialogue,0.10416768308080808,-0.09564807146464646,0.2636916291982322,10,multi_label,0.09945485826308195,-0.0570447540940419,0.22656546659736454,19,-0.004712824817726127
primary,Comedy,Opening,Full dialogue,0.2795165809874159,0.21823248897227382,0.33997222792752685,99,multi_label,0.2599999371030867,0.21211594221343955,0.3082814748440078,164,-0.019516643884329166
primary,Comedy,Inciting conflict,Full dialogue,0.31915033880111127,0.256014718605487,0.38275323818984003,100,multi_label,0.2644972602779938,0.21499101422362224,0.316019326039559,166,-0.05465307852311746
primary,Comedy,Escalation,Full dialogue,0.31375977964558743,0.25979409286699706,0.36772682218789143,102,multi_label,0.2509598421012014,0.205341712769866,0.29683554240769494,168,-0.06279993754438601
primary,Comedy,Climax zone,Full dialogue,0.22454034320159516,0.16191601397208166,0.2844974840903844,101,multi_label,0.1601944738325973,0.11029112656608665,0.20776501807945685,167,-0.06434586936899786
primary,Comedy,Resolution,Full dialogue,0.28397805657245856,0.20959713140392766,0.35429504112814025,102,multi_label,0.2042844906272443,0.1408116166711801,0.2666455340197466,172,-0.07969356594521426
