review_reason,movie_id,query_used,tmdb_id,title,runtime,genre,release_date,popularity,title_score,final_score
title_score < 90,lincolnlawyerthe,lincoln lawyer the,50348,The Lincoln Lawyer,119,"Crime, Drama, Thriller",2011-03-17,3.2863,81.25,81.414315
title_score < 90,longkissgoodnightthe,long kiss goodnight the,11412,The Long Kiss Goodnight,121,"Crime, Action, Mystery, Thriller",1996-10-11,4.0619,85.0,85.203095
title_score < 90,lordoftheringsfellowshipoftheringthe,lord of the rings fellowship of the ring the,120,The Lord of the Rings: The Fellowship of the Ring,179,"Adventure, Fantasy, Action",2001-12-18,43.6819,88.0,90.184095
title_score < 90,manchuriancandidatethe,manchurian candidate the,14462,The Manchurian Candidate,130,"Thriller, Drama, Mystery",2004-07-30,3.0773,86.36363636363636,86.51750136363636
title_score < 90,manwhoknewtoomuchthe,man who knew too much the,574,The Man Who Knew Too Much,121,"Thriller, Mystery, Drama",1956-05-16,2.7714,85.0,85.13857
title_score < 90,manwhowasnttherethe,man who wasnt there the,10778,The Man Who Wasn't There,116,"Crime, Drama",2001-10-26,2.8291,84.21052631578947,74.35198131578946
title_score < 90,mariachiel,mariachi el,9367,El Mariachi,81,"Action, Crime, Thriller, Western",1993-02-22,1.984,80.0,80.0992
title_score < 90,marleyme,marley me,14306,Marley & Me,115,"Comedy, Family",2008-12-25,4.4259,84.21052631578947,84.43182131578946
title_score < 90,otherboleyngirlthe,other boleyn girl the,12184,The Other Boleyn Girl,116,"Drama, Romance, History",2008-02-28,3.8547,83.33333333333334,83.52606833333334
title_score < 90,patriotthe,patriot the,507542,The Patriot,85,"War, Drama",1998-01-01,0.2134,82.35294117647058,82.36361117647058
title_score < 90,pianistthe,pianist the,1642694,The Pianist,88,"TV Movie, Drama",1983-05-09,0.2134,77.77777777777779,77.78844777777779
title_score < 90,queenthe,queen the,115261,Queen of the Mob,61,"Crime, Drama",1940-06-28,0.4901,76.19047619047619,66.2149811904762
title_score < 90,replacementsthe,replacements the,10393,The Replacements,118,Comedy,2000-08-11,2.8738,80.0,80.14369
title_score < 90,ringu,ring u,1483931,Ring,9,"Romance, Drama",2020-04-16,0.1254,88.88888888888889,88.89515888888889
title_score < 90,rockthe,rock the,1162442,Rock the Boat,91,"Thriller, Mystery, TV Movie",2023-08-17,0.2057,77.77777777777779,72.78806277777778
title_score < 90,saltonseathe,salton sea the,11468,The Salton Sea,103,"Crime, Drama, Mystery, Thriller",2002-02-12,1.5291,75.0,75.076455
title_score < 90,searchersthe,searchers the,3114,The Searchers,119,Western,1956-05-16,5.1342,75.0,75.25671
title_score < 90,shiningthe,shining the,475008,Shining the Ball,16,Drama,2005-06-10,0.0311,83.33333333333334,78.33488833333334
title_score < 90,shippingnewsthe,shipping news the,6440,The Shipping News,111,"Drama, Romance",2001-12-18,1.8963,80.0,80.094815
title_score < 90,siegethe,siege the,1462086,Siege in the Air,30,Documentary,2022-05-17,0.1218,76.19047619047619,66.19656619047619
title_score < 90,sixthsensethe,sixth sense the,320904,Sixth Sense Hooker,62,Horror,2001-10-26,0.4236,82.75862068965517,77.77980068965518
title_score < 90,socialnetworkthe,social network the,37799,The Social Network,121,Drama,2010-10-01,11.1511,81.25,81.807555
title_score < 90,starwarsattackoftheclones,star wars attack of the clones,1152956,The Making of Star Wars Attack of the Clones,0,,2019-10-11,0.0478,81.9672131147541,76.96960311475411
title_score < 90,sweethereafterthe,sweet hereafter the,10217,The Sweet Hereafter,112,Drama,1997-09-25,1.4696,82.35294117647058,82.42642117647058
title_score < 90,takingofpelhamonetwothreethe,taking of pelham one two three the,8333,The Taking of Pelham One Two Three,105,"Crime, Thriller, Comedy, Action",1974-10-02,2.4053,89.28571428571429,89.4059792857143
title_score < 90,thelmalouise,thelma louise,1541,Thelma & Louise,130,"Drama, Crime, Adventure",1991-05-24,7.5198,88.88888888888889,89.26487888888889
title_score < 90,timemachinethe,time machine the,2135,The Time Machine,96,"Science Fiction, Adventure, Action",2002-03-04,5.2851,78.57142857142857,78.83568357142858
title_score < 90,trumanshowthe,truman show the,37165,The Truman Show,103,"Comedy, Drama",1998-06-04,20.9228,76.92307692307692,77.96921692307691
title_score < 90,twilightnewmoon,twilight new moon,18239,The Twilight Saga: New Moon,131,"Adventure, Fantasy, Drama, Romance",2009-11-18,11.3105,81.08108108108108,71.64660608108107
title_score < 90,warhorse,warhorse,1076487,Warhorse One,125,"Action, War, Drama",2023-06-30,2.6394,84.21052631578947,79.34249631578946
title_score < 90,wildbunchthe,wild bunch the,576,The Wild Bunch,145,Western,1969-06-19,2.8941,75.0,75.144705
title_score < 90,wizardofozthe,wizard of oz the,630,The Wizard of Oz,102,"Adventure, Fantasy, Family",1939-08-15,11.3937,76.92307692307692,77.49276192307693
title_score < 90,worldisnotenoughthe,world is not enough the,36643,The World Is Not Enough,128,"Adventure, Action, Thriller",1999-11-17,5.3254,84.21052631578947,84.47679631578947
